trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,False,"{'a': 0.3032653298563167, 'e': 0.5730095937203802}",20,10,16.847990873965845,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.2972602739850972, 'e': 0.5450635860680252}",20,0,-12.04387374225282,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
28,False,"{'a': 0.2913741261869948, 'e': 0.518480521291783}",20,0,-1.8273128576358708,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.28560453192440743, 'e': 0.49319392788321287}",20,9,-41.88898805316857,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.279949183282701, 'e': 0.46914057618759525}",30,7,-73.7962727910776,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 1}",1
31,False,"{'a': 0.27440581804701325, 'e': 0.44626032029685964}",20,8,-12.787602122543795,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.26897221879733724, 'e': 0.4244959476534861}",20,11,8.165611469761084,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.2636462120215243, 'e': 0.40379303598931077}",20,5,7.713575052716043,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.2584256672458496, 'e': 0.38409981724150816}",20,11,5.240537750849116,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.2533084961827948, 'e': 0.3653670481054692}",20,12,-40.601399596323986,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,False,"{'a': 0.24829265189570474, 'e': 0.3475478869008903}",20,0,-27.825069121056284,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
37,False,"{'a': 0.24337612797998584, 'e': 0.33059777644317306}",30,17,5.958797971015979,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.2385569577605172, 'e': 0.3144743326272552}",20,9,22.339173715759333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.23383321350495462, 'e': 0.29913723844527007}",30,13,-39.852593955991814,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.22920300565261176, 'e': 0.28454814317302707}",30,13,1.5706493447906855,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.22466448205861078, 'e': 0.2706705664732254}",25,0,45.10805850122835,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.22021582725299962, 'e': 0.25746980717560836}",30,20,11.887894996785478,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.21585526171453986, 'e': 0.2449128565059638}",30,18,-6.464059336497671,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.2115810411588744, 'e': 0.23296831554699393}",20,9,0.4907488404187983,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.2073914558407907, 'e': 0.22160631672466774}",30,19,-17.34110101955854,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.20328482987029955, 'e': 0.21079844912372867}",20,14,-0.6910550939311162,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.19925952054225707, 'e': 0.2005176874456074}",20,9,-22.73078671236605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.19531391767926054, 'e': 0.19073832443109923}",25,0,29.306185223785377,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
